,2014,2015,2016,2017,2018
78617.0,1434,1555,1574,1576,1938
78701.0,4431,4671,4889,5684,7994
78702.0,6932,8087,7106,7286,7780
78703.0,4708,5162,4510,4737,5238
78704.0,8333,8993,8744,8503,9973
78705.0,3895,3962,3556,3611,4583
78721.0,2873,3371,2774,2681,3244
78722.0,1530,1696,1482,1471,1624
78723.0,6074,6854,6287,6003,7014
78724.0,3219,2668,2649,2820,3308
78727.0,2591,2529,2389,2396,2589
78729.0,1499,1358,1656,1565,1659
78731.0,3952,3997,3857,4089,4293
78735.0,1392,1612,1355,1390,1829
78739.0,1417,1910,1670,1361,1253
78741.0,5846,5564,5267,5588,6795
78744.0,6091,6792,6546,6460,7512
78745.0,8506,9745,9153,9443,9589
78746.0,1799,2124,2323,2253,2725
78747.0,1189,1389,1538,1505,1540
78748.0,4358,4930,4995,4996,5464
78749.0,3915,4260,4046,4010,4093
78750.0,2097,2229,2390,2112,2287
78751.0,3156,3556,3350,3369,3698
78752.0,2700,2489,2386,2565,3133
78753.0,5796,5937,5413,5459,6887
78754.0,1883,1797,1668,1788,2524
78756.0,2010,2030,1812,1809,2085
78757.0,4244,4847,4061,4057,4061
78758.0,6214,6607,6128,6534,7190
78759.0,4293,4250,4225,4333,5381
