GEO_ID,NAME,S1903_C03_015E
id,Geographic Area Name,Estimate!!Median income (dollars)!!FAMILIES!!Families
8600000US78610,ZCTA5 78610,88053
8600000US78613,ZCTA5 78613,115556
8600000US78617,ZCTA5 78617,63405
8600000US78641,ZCTA5 78641,108589
8600000US78652,ZCTA5 78652,103846
8600000US78653,ZCTA5 78653,76372
8600000US78660,ZCTA5 78660,99733
8600000US78664,ZCTA5 78664,86640
8600000US78681,ZCTA5 78681,119784
8600000US78701,ZCTA5 78701,175993
8600000US78702,ZCTA5 78702,61016
8600000US78703,ZCTA5 78703,202837
8600000US78704,ZCTA5 78704,118264
8600000US78705,ZCTA5 78705,87870
8600000US78712,ZCTA5 78712,-
8600000US78717,ZCTA5 78717,129229
8600000US78719,ZCTA5 78719,77500
8600000US78721,ZCTA5 78721,44201
8600000US78722,ZCTA5 78722,104609
8600000US78723,ZCTA5 78723,73162
8600000US78724,ZCTA5 78724,49254
8600000US78725,ZCTA5 78725,58149
8600000US78726,ZCTA5 78726,132276
8600000US78727,ZCTA5 78727,96500
8600000US78728,ZCTA5 78728,78946
8600000US78729,ZCTA5 78729,100577
8600000US78730,ZCTA5 78730,204427
8600000US78731,ZCTA5 78731,146290
8600000US78732,ZCTA5 78732,198264
8600000US78733,ZCTA5 78733,200435
8600000US78734,ZCTA5 78734,138081
8600000US78735,ZCTA5 78735,146212
8600000US78736,ZCTA5 78736,115801
8600000US78737,ZCTA5 78737,156202
8600000US78738,ZCTA5 78738,157926
8600000US78739,ZCTA5 78739,173125
8600000US78741,ZCTA5 78741,47135
8600000US78742,ZCTA5 78742,54861
8600000US78744,ZCTA5 78744,52730
8600000US78745,ZCTA5 78745,76451
8600000US78746,ZCTA5 78746,202875
8600000US78747,ZCTA5 78747,89037
8600000US78748,ZCTA5 78748,87412
8600000US78749,ZCTA5 78749,123247
8600000US78750,ZCTA5 78750,135880
8600000US78751,ZCTA5 78751,108702
8600000US78752,ZCTA5 78752,53149
8600000US78753,ZCTA5 78753,53129
8600000US78754,ZCTA5 78754,76563
8600000US78756,ZCTA5 78756,156792
8600000US78757,ZCTA5 78757,110082
8600000US78758,ZCTA5 78758,60007
8600000US78759,ZCTA5 78759,137025
